Model,it,KM_Bias_Est,KM_EmpSE_Est,KM_Coverage_Est,KM_Bias_SE,KM_EmpSE_SE,KM_Coverage_SE,Pseudo_Bias_Est,Pseudo_EmpSE_Est,Pseudo_Coverage_Est,Pseudo_Bias_SE,Pseudo_EmpSE_SE,Pseudo_Coverage_SE,Pseudo.Slope_Bias_Est,Pseudo.Slope_EmpSE_Est,Pseudo.Slope_Coverage_Est,Pseudo.Slope_Bias_SE,Pseudo.Slope_EmpSE_SE,Pseudo.Slope_Coverage_SE,Unweighted_Bias_Est,Unweighted_EmpSE_Est,Unweighted_Coverage_Est,Unweighted_Bias_SE,Unweighted_EmpSE_SE,Unweighted_Coverage_SE,Unweighted.Slope_Bias_Est,Unweighted.Slope_EmpSE_Est,Unweighted.Slope_Coverage_Est,Unweighted.Slope_Bias_SE,Unweighted.Slope_EmpSE_SE,Unweighted.Slope_Coverage_SE,Weighted_Bias_Est,Weighted_EmpSE_Est,Weighted_Coverage_Est,Weighted_Bias_SE,Weighted_EmpSE_SE,Weighted_Coverage_SE,Weighted.Slope_Bias_Est,Weighted.Slope_EmpSE_Est,Weighted.Slope_Coverage_Est,Weighted.Slope_Bias_SE,Weighted.Slope_EmpSE_SE,Weighted.Slope_Coverage_SE
O,11,-0.21187592479701495,0.004187161959349395,0,4.187161959349395e-4,2.975686430767508e-4,0,-0.2080247331008353,0.03545683220314904,0,0.003545683220314904,0.0025198073418040176,0,-0.0698780879872034,0.01123280241056341,0,0.001123280241056341,7.982805068710489e-4,0,0.09030377440997175,0.03284972251789881,0.22,0.003284972251789881,0.0023345281242996845,0.001716,-0.02131530439510325,0.009915359901273183,0.96,9.915359901273182e-4,7.046539446250458e-4,0.00038400000000000033,0.0017114821916285456,0.03373655810002577,0.95,0.0033736558100025773,0.0023975527847660554,4.7500000000000043e-4,-5.765687243047468e-4,0.009663355652308976,1,9.663355652308976e-4,6.86744782490437e-4,0
O,12,-0.21173630474949645,0.00422943050418426,0,4.2294305041842595e-4,3.0057253775611826e-4,0,-0.21246048071666415,0.03504522462027622,0,0.003504522462027622,0.002490555664628722,0,-0.07315872862227467,0.011340941468745548,0,0.0011340941468745548,8.059656150945332e-4,0,0.0914645333397425,0.032467895817200706,0.22,0.0032467895817200705,0.0023073928822621727,0.001716,-0.022278695595660696,0.01010866083163576,0.94,0.001010866083163576,7.183912435668816e-4,5.640000000000005e-4,8.661730175825292e-4,0.033446103014638455,0.94,0.0033446103014638457,0.00237691104067482,5.640000000000005e-4,-6.909811826809454e-4,0.009902828043212592,1,9.902828043212592e-4,7.037633442531176e-4,0
O,13,-0.2116346212659455,0.0042045235285637994,0,4.2045235285637994e-4,2.9880247607460696e-4,0,-0.21607681030118153,0.03409511099407998,0,0.0034095110994079984,0.0024230340293873004,0,-0.07632740439072798,0.011247281334952577,0,0.0011247281334952578,7.993094792216587e-4,0,0.0929972476741281,0.03175631616147318,0.19,0.003175631616147318,0.0022568231181471104,0.001539,-0.023070779127533143,0.010190435577406799,0.92,0.0010190435577406799,7.242027216929428e-4,7.359999999999997e-4,4.330273801658527e-5,0.03282229706252605,0.92,0.003282229706252605,0.0023325790820557337,7.359999999999997e-4,-4.0678289658771624e-4,0.009963405398587416,1,9.963405398587416e-4,7.080683894400645e-4,0
O,14,-0.21159169989727802,0.004152954929848685,0,4.152954929848685e-4,2.9513765534543455e-4,0,-0.21916992632381357,0.032839984995441836,0,0.0032839984995441836,0.002333836108711899,0,-0.07965012191485565,0.01150829804778687,0,0.001150829804778687,8.178591292740113e-4,0,0.09486777176497463,0.03063481968181348,0.17,0.0030634819681813483,0.0021771218338625296,0.001411,-0.02390966270533894,0.010357568789526053,0.89,0.0010357568789526052,7.360803618764891e-4,9.789999999999998e-4,-2.0807992472100315e-4,0.03181975107174829,0.94,0.003181975107174829,0.0022613312409179792,5.640000000000005e-4,-3.309565727098196e-4,0.010042796241240097,1,0.0010042796241240097,7.137104509486069e-4,0
O,15,-0.21157874237200938,0.004227318874669677,0,4.227318874669677e-4,3.00422470781056e-4,0,-0.22237814423217428,0.03223091932125942,0,0.003223091932125942,0.0022905516960307977,0,-0.0836381890148507,0.011501067703031609,0,0.0011501067703031608,8.173452910469047e-4,0,0.09696028962541345,0.03078707428223214,0.14,0.0030787074282232142,0.0021879420971550947,0.001204,-0.025138921092812804,0.010453757891860949,0.85,0.0010453757891860948,7.429162237176235e-4,0.001275,-2.87819837357014e-4,0.03216673372409147,0.94,0.003216673372409147,0.0022859902242654915,5.640000000000005e-4,-4.068467853523394e-4,0.01016003961042075,1,0.001016003961042075,7.22042574381027e-4,0
O,16,-0.21147763948570497,0.004261762402275096,0,4.2617624022750955e-4,3.028702657008192e-4,0,-0.2261007570120122,0.03154967657078607,0,0.003154967657078607,0.0022421378818931366,0,-0.08736301138607815,0.01138114306313095,0,0.001138114306313095,8.08822618001735e-4,0,0.09862849191432116,0.03075040471458736,0.14,0.003075040471458736,0.0021853361044583217,0.001204,-0.026399390430867163,0.010284144519642878,0.85,0.0010284144519642877,7.308623262308289e-4,0.001275,-6.091893679078514e-4,0.0319291350958424,0.94,0.00319291350958424,0.002269104825016221,5.640000000000005e-4,-6.506422004923762e-4,0.00993892048210437,1,9.93892048210437e-4,7.06328322195367e-4,0
O,17,-0.21141230936540176,0.004420756790848561,0,4.4207567908485605e-4,3.1416950488094754e-4,0,-0.22906617092800674,0.032563458360710965,0,0.0032563458360710964,0.0023141842165065566,0,-0.0911255783797872,0.011841206430343093,0,0.0011841206430343093,8.415178978212693e-4,0,0.10047988396159892,0.03126269135372816,0.13,0.003126269135372816,0.0022217427306063975,0.001131,-0.027475919283463233,0.010628847579213115,0.81,0.0010628847579213115,7.553593059742773e-4,0.0015389999999999996,-9.284201793465304e-4,0.032626054913976625,0.9,0.0032626054913976626,0.0023186327598391002,8.999999999999999e-4,-6.79801311005136e-4,0.010087407443097903,1,0.0010087407443097904,7.168808310131299e-4,0
O,18,-0.21144421815253814,0.004499613328108111,0,4.4996133281081116e-4,3.1977359495863393e-4,0,-0.23104617981384737,0.032130982617590884,0,0.0032130982617590885,0.0022834495037600145,0,-0.0945219189226325,0.012059535208965888,0,0.0012059535208965887,8.570338484890778e-4,0,0.10317835520909906,0.031199110584877874,0.1,0.0031199110584877875,0.002217224242117957,9.000000000000001e-4,-0.028245592011114623,0.010979327537742981,0.77,0.001097932753774298,7.802668320498946e-4,0.0017709999999999998,-4.820604596687941e-4,0.03237827159023334,0.9,0.003237827159023334,0.002301023565798086,8.999999999999999e-4,-3.8887483412011206e-4,0.010386657184597031,1,0.001038665718459703,7.381475840987449e-4,0
O,19,-0.21136704421638744,0.004409216015157637,0,4.409216015157637e-4,3.1334933766607944e-4,0,-0.23423636623021074,0.031051553298442225,0,0.0031051553298442223,0.0022067378023941002,0,-0.09840805561394261,0.01248674696959056,0,0.001248674696959056,8.873944662893185e-4,0,0.10521727700310353,0.030153189045471134,0.09,0.0030153189045471133,0.0021428938349668638,8.19e-4,-0.029372404127485895,0.011309510819876707,0.75,0.0011309510819876706,8.037319361430803e-4,0.001875,-6.708648607238695e-4,0.031302694474618885,0.93,0.0031302694474618885,0.0022245856286165185,6.509999999999997e-4,-3.9649268948469874e-4,0.010692468294535414,1,0.0010692468294535413,7.598806333348675e-4,0
O,20,-0.21111002470622062,0.004450190576120886,0,4.450190576120886e-4,3.1626127291598655e-4,0,-0.2380460320674473,0.030519709017524668,0,0.0030519709017524667,0.0021689412751670144,0,-0.10213904935685023,0.012701742589267914,0,0.0012701742589267915,9.026735396654951e-4,0,0.10605648881161515,0.03013347611941032,0.09,0.003013347611941032,0.00214149289831432,8.19e-4,-0.03031070055384774,0.01157752630284508,0.73,0.001157752630284508,8.227789671308311e-4,0.001971,-0.0024087582154364755,0.03127253582875131,0.9,0.003127253582875131,0.002222442346982091,8.999999999999999e-4,-2.6330602314357244e-5,0.011042660132073568,0.99,0.0011042660132073569,7.847676835432082e-4,9.900000000000009e-5
