Model,it,KM_Bias_Est,KM_EmpSE_Est,KM_Coverage_Est,KM_Bias_SE,KM_EmpSE_SE,KM_Coverage_SE,Pseudo_Bias_Est,Pseudo_EmpSE_Est,Pseudo_Coverage_Est,Pseudo_Bias_SE,Pseudo_EmpSE_SE,Pseudo_Coverage_SE,Pseudo.Slope_Bias_Est,Pseudo.Slope_EmpSE_Est,Pseudo.Slope_Coverage_Est,Pseudo.Slope_Bias_SE,Pseudo.Slope_EmpSE_SE,Pseudo.Slope_Coverage_SE,Unweighted_Bias_Est,Unweighted_EmpSE_Est,Unweighted_Coverage_Est,Unweighted_Bias_SE,Unweighted_EmpSE_SE,Unweighted_Coverage_SE,Unweighted.Slope_Bias_Est,Unweighted.Slope_EmpSE_Est,Unweighted.Slope_Coverage_Est,Unweighted.Slope_Bias_SE,Unweighted.Slope_EmpSE_SE,Unweighted.Slope_Coverage_SE,Weighted_Bias_Est,Weighted_EmpSE_Est,Weighted_Coverage_Est,Weighted_Bias_SE,Weighted_EmpSE_SE,Weighted_Coverage_SE,Weighted.Slope_Bias_Est,Weighted.Slope_EmpSE_Est,Weighted.Slope_Coverage_Est,Weighted.Slope_Bias_SE,Weighted.Slope_EmpSE_SE,Weighted.Slope_Coverage_SE
U,46,0.24516509406755627,0.006131121797766508,0,6.131121797766508e-4,4.357198531157725e-4,0,-0.9634506320396791,0.03954838173474594,0,0.003954838173474594,0.002810581105517658,0,-0.692185559030217,0.010899732561626452,0,0.0010899732561626453,7.746102634077775e-4,0,0.379867693855816,0.030700867450527046,0,0.0030700867450527045,0.0021818156443970033,0,0.245309781482219,0.029327183550333945,0,0.0029327183550333946,0.002084192180541224,0,0.006322475844750425,0.052305049446995,0.55,0.0052305049446995005,0.0037171580037049868,0.0024749999999999998,0.019346929889237956,0.0829634431287666,0.37,0.008296344312876661,0.005895955168793663,0.002331
U,47,0.24584829560208848,0.0060913772744327745,0,6.091377274432774e-4,4.3289533283378444e-4,0,-0.9671195991810209,0.03908793725062607,0,0.003908793725062607,0.0027778587408988763,0,-0.6937306017595503,0.010636930897880325,0,0.0010636930897880326,7.559337624177373e-4,0,0.38225936775977404,0.03054843114781173,0,0.003054843114781173,0.002170982468084501,0,0.25131446230909066,0.030294756440545204,0,0.0030294756440545204,0.00215295459164766,0,0.011634002270040876,0.048989115422235746,0.6,0.004898911542223575,0.0034815048338827813,0.0024,0.029634293941079873,0.07287080051307003,0.37,0.007287080051307003,0.005178702290264439,0.002331
U,48,0.24668048615331672,0.006098099808669454,0,6.098099808669454e-4,4.3337308253877955e-4,0,-0.9712764122312781,0.03937462749979257,0,0.003937462749979257,0.0027982329297303646,0,-0.6949542719876006,0.010152710299392444,0,0.0010152710299392443,7.215217029271511e-4,0,0.3833974828327439,0.03008656237118823,0,0.003008656237118823,0.002138158883405028,0,0.25590708258472983,0.030442051844795058,0,0.003044205184479506,0.0021634224202149795,0,0.010038578702085228,0.05016903073068188,0.59,0.005016903073068188,0.003565357763549337,0.002419,0.02737063822755486,0.0759767697346177,0.41,0.00759767697346177,0.005399433911268585,0.002419
U,49,0.24755413450060204,0.006185918239688067,0,6.185918239688066e-4,4.3961406667291085e-4,0,-0.9760330146821646,0.04030247712970055,0,0.004030247712970055,0.002864172331652588,0,-0.6959182270256501,0.009981307560643873,0,9.981307560643874e-4,7.093406406983148e-4,0,0.38478587065753755,0.030127647021030098,0,0.0030127647021030097,0.0021410786423308632,0,0.26010654657830035,0.03060658800459295,0,0.003060658800459295,0.0021751154959267502,0,0.010540111536194432,0.04909908711503241,0.58,0.004909908711503241,0.003489320181777144,0.0024360000000000002,0.030613126689647593,0.07477835646994237,0.39,0.007477835646994236,0.005314266389095637,0.002379
U,50,0.24829692057494163,0.006156696037796339,0,6.156696037796338e-4,4.3753733521397593e-4,0,-0.9803805815453542,0.040224431045447005,0,0.004022443104544701,0.0028586258379620527,0,-0.6969095410097649,0.009784941409212362,0,9.784941409212362e-4,6.95385505980584e-4,0,0.3864832522557014,0.029755612552122838,0,0.002975561255212284,0.002114639303904194,0,0.2635129449546176,0.0305431933532687,0,0.00305431933532687,0.002170610234234935,0,0.00898636628055732,0.048782678348962674,0.64,0.004878267834896267,0.0034668339899147234,0.002304,0.027290030248854034,0.07709500877656009,0.35,0.007709500877656009,0.005478903699534895,0.0022749999999999997
U,51,0.24908751447152708,0.006121074010369764,0,6.121074010369764e-4,4.350057879588476e-4,0,-0.9848508086609692,0.03962080325557895,0,0.003962080325557895,0.002815727878891378,0,-0.6970722264722191,0.009739134788787759,0,9.739134788787759e-4,6.921301712177991e-4,0,0.3883286860148358,0.029691393588349137,0,0.0029691393588349136,0.0021100754608774715,0,0.26889740719713573,0.03262707179800354,0,0.003262707179800354,0.0023187050266400963,0,0.01173057257294791,0.049566231186268,0.61,0.0049566231186268005,0.0035225186653200457,0.002379,0.03340238433500611,0.08113138238462896,0.36,0.008113138238462896,0.005765756281107949,0.002304
U,52,0.2498857724143099,0.006210423004554936,0,6.210423004554936e-4,4.4135554448082495e-4,0,-0.98954626293866,0.04061483042104112,0,0.004061483042104112,0.002886370313475869,0,-0.6973001618789385,0.009731576905463458,0,9.731576905463458e-4,6.915930558381747e-4,0,0.3898436337394546,0.029416670687289617,0,0.0029416670687289616,0.0020905517544424113,0,0.2717116759443751,0.03394117661999099,0,0.003394117661999099,0.0024120943897781256,0,0.009678751894240707,0.05098229381548453,0.62,0.0050982293815484536,0.0036231538543045035,0.002356,0.03022408768728286,0.08646158927541761,0.39,0.008646158927541761,0.006144557590254533,0.002379
U,53,0.25067660944111714,0.006258109702421673,0,6.258109702421673e-4,4.447444905294323e-4,0,-0.9944414850017097,0.04066130658531377,0,0.004066130658531377,0.0028896732306479987,0,-0.6969276821969773,0.010003722028015366,0,0.0010003722028015367,7.109335675317586e-4,0,0.3916722400623177,0.029996469473006184,0,0.0029996469473006185,0.0021317562599280394,0,0.27568455507409184,0.03441517111737285,0,0.003441517111737285,0.0024457797119082684,0,0.00998659351309277,0.050737425410956494,0.6,0.005073742541095649,0.003605751814551759,0.0024,0.030817999265547426,0.08767745886779232,0.35,0.008767745886779232,0.006230965679617631,0.0022749999999999997
U,54,0.2513904883413718,0.00630630888063944,0,6.30630888063944e-4,4.481698569706921e-4,0,-0.9979530210521628,0.040555239474319875,0,0.004055523947431987,0.0028821353692994427,0,-0.6959558047080892,0.010221473670222029,0,0.001022147367022203,7.26408502900449e-4,0,0.3931945651745146,0.029862273082248415,0,0.0029862273082248416,0.002122219337714075,0,0.28051761086212257,0.034892859158904777,0,0.0034892859158904776,0.002479727522791307,0,0.009607233764160316,0.05110231610759914,0.66,0.005110231610759914,0.003631683467190329,0.002244,0.02951558490373864,0.09002097759520579,0.36,0.009002097759520579,0.00639751230344341,0.002304
U,55,0.2522254580283984,0.006196485845937569,0,6.196485845937569e-4,4.403650737470968e-4,0,-1.0022988526369314,0.04095603421142959,0,0.004095603421142959,0.002910618610987226,0,-0.6948386213069959,0.010575221784284343,0,0.0010575221784284343,7.515482866762929e-4,0,0.3941008785690702,0.02923544749151962,0,0.002923544749151962,0.002077672782722939,0,0.28443182808970746,0.03658601739627179,0,0.003658601739627179,0.002600055039161324,0,0.00831154576389688,0.049576795918711274,0.63,0.004957679591871127,0.003523269468161716,0.002331,0.028354136126702872,0.09057859152868955,0.38,0.009057859152868955,0.006437140200132947,0.002356
