b,g,e,iter,time.taken
-0.5,1.5,-0.5,3,172851
-0.5,1.5,-0.5,3,306370
-0.5,1.5,-0.5,34,375757
-0.5,1.5,-0.5,4,387919
-0.5,1.5,-0.5,4,414921
-0.5,1.5,-0.5,4,197800
-0.5,1.5,-0.5,4,947232
-0.5,1.5,-0.5,5,307609
-0.5,1.5,-0.5,5,378179
-0.5,1.5,-0.5,5,406819
-0.5,1.5,0.5,34,306924
-0.5,2,-0.5,1,421589
-0.5,2,-0.5,1,306622
-0.5,2,-0.5,1,331052
-0.5,2,-0.5,1,339915
-0.5,2,-0.5,2,388694
-0.5,2,-0.5,2,460520
-0.5,2,-0.5,3,168429
-0.5,2,-0.5,3,315430
-0.5,2,-0.5,3,322528
-0.5,2,-0.5,35,129479
-0.5,2,-0.5,4,212783
-0.5,2,-0.5,4,446732
-0.5,2,-0.5,4,351024
-0.5,2,-0.5,5,383169
-0.5,2,-0.5,5,391315
-0.5,2,-0.5,5,388914
-0.5,2,-0.5,5,438808
-0.5,2,0,1,363872
-0.5,2,0,2,323874
-0.5,2,0,2,423448
-0.5,2,0,3,118089
-0.5,2,0,3,409412
-0.5,2,0,3,341468
-0.5,2,0,3,926296
-0.5,2,0,34,282937
-0.5,2,0,35,204053
-0.5,2,0,67,329671
-0.5,2,0.5,1,343778
-0.5,2,0.5,1,345821
-0.5,2,0.5,1,373838
-0.5,2,0.5,1,384132
-0.5,2,0.5,2,380571
-0.5,2,0.5,2,394234
-0.5,2,0.5,3,313688
-0.5,2,0.5,3,410230
-0.5,2,0.5,3,197782
-0.5,2,0.5,3,331609
-0.5,2,0.5,34,262618
-0.5,2,0.5,35,124142
-0.5,2,0.5,4,340618
-0.5,2,0.5,4,154049
-0.5,2,0.5,4,382820
-0.5,2,0.5,4,371513
-0.5,2,0.5,4,348763
-0.5,2,0.5,4,352602
-1,-0.5,-0.5,1,350651
-1,-0.5,-0.5,1,385605
-1,-0.5,-0.5,1,399523
-1,-0.5,-0.5,2,375442
-1,-0.5,-0.5,2,439658
-1,-0.5,-0.5,3,128225
-1,-0.5,-0.5,3,336534
-1,-0.5,-0.5,3,423223
-1,-0.5,-0.5,3,460276
-1,-0.5,-0.5,3,344453
-1,-0.5,-0.5,3,416684
-1,-0.5,-0.5,3,341401
-1,-0.5,-0.5,34,356975
-1,-0.5,-0.5,4,345842
-1,-0.5,-0.5,4,172951
-1,-0.5,-0.5,4,465020
-1,-0.5,-0.5,68,223923
-1,-0.5,0,1,300162
-1,-0.5,0.5,1,307833
-1,-0.5,0.5,1,414315
-1,-0.5,0.5,1,338002
-1,-0.5,0.5,1,408582
-1,-0.5,0.5,2,360816
-1,-0.5,0.5,2,964399
-1,-0.5,0.5,2,438599
-1,-0.5,0.5,2,351051
-1,-0.5,0.5,2,338761
-1,-0.5,0.5,3,369673
-1,-0.5,0.5,3,305013
-1,-0.5,0.5,3,371363
-1,-0.5,0.5,3,376595
-1,-0.5,0.5,3,348807
-1,-0.5,0.5,3,153328
-1,-0.5,0.5,4,167851
-1,-0.5,0.5,4,325721
-1,-0.5,0.5,4,392120
-1,-0.5,0.5,5,385238
-1,-0.5,0.5,5,433928
-1,-0.5,0.5,5,385046
-1,-0.5,0.5,5,423591
-1,-0.5,0.5,5,943429
-1,-0.5,0.5,67,460814
-1,-1,-0.5,1,347335
-1,-1,-0.5,1,436658
-1,-1,-0.5,1,473342
-1,-1,-0.5,1,424015
-1,-1,-0.5,2,373572
-1,-1,-0.5,2,367077
-1,-1,-0.5,2,332745
-1,-1,-0.5,2,199190
-1,-1,-0.5,2,472272
-1,-1,-0.5,3,387035
-1,-1,-0.5,3,405994
-1,-1,-0.5,3,354939
-1,-1,-0.5,34,368108
-1,-1,-0.5,4,171652
-1,-1,-0.5,4,366886
-1,-1,-0.5,4,630726
-1,-1,-0.5,4,370001
-1,-1,-0.5,5,384330
-1,-1,-0.5,5,379550
-1,-1,-0.5,5,396712
-1,-1,0,1,411852
-1,-1,0,1,459880
-1,-1,0,1,481866
-1,-1,0,1,664897
-1,-1,0,2,415737
-1,-1,0,2,457538
-1,-1,0,2,460114
-1,-1,0,3,346830
-1,-1,0,3,137071
-1,-1,0,3,394921
-1,-1,0,3,308910
-1,-1,0,3,413644
-1,-1,0,34,333405
-1,-1,0,67,434372
-1,-1,0,68,606950
-1,-1,0.5,1,278067
-1,-1,0.5,2,422308
-1,-1,0.5,2,413272
-1,-1,0.5,2,426229
-1,-1,0.5,2,410896
-1,-1,0.5,3,441318
-1,-1,0.5,3,191124
-1,-1,0.5,3,406340
-1,-1,0.5,3,391679
-1,-1,0.5,3,697010
-1,-1,0.5,34,446369
-1,-1,0.5,4,417966
-1,-1,0.5,4,431015
-1,-1,0.5,4,151290
-1,-1,0.5,4,2055243
-1,-1,0.5,4,384831
-1,-1,0.5,68,556685
-1,-1.5,-0.5,1,523815
-1,-1.5,-0.5,2,429355
-1,-1.5,-0.5,2,345555
-1,-1.5,-0.5,2,384246
-1,-1.5,-0.5,2,404487
-1,-1.5,-0.5,3,144786
-1,-1.5,-0.5,3,403276
-1,-1.5,-0.5,3,388654
-1,-1.5,-0.5,3,407058
-1,-1.5,-0.5,34,321438
-1,-1.5,-0.5,4,351762
-1,-1.5,-0.5,4,510540
-1,-1.5,-0.5,4,228188
-1,-1.5,-0.5,4,366196
-1,-1.5,-0.5,4,397704
-1,-1.5,-0.5,4,425834
-1,-1.5,-0.5,4,494584
-1,-1.5,-0.5,5,476137
-1,-1.5,-0.5,5,484894
-1,-1.5,-0.5,5,412708
-1,-2,-0.5,1,408379
-1,-2,-0.5,1,447126
-1,-2,-0.5,1,458481
-1,-2,-0.5,1,495068
-1,-2,-0.5,1,354471
-1,-2,-0.5,1,416416
-1,-2,-0.5,2,467582
-1,-2,-0.5,2,732234
-1,-2,-0.5,2,494425
-1,-2,-0.5,3,467541
-1,-2,-0.5,3,382857
-1,-2,-0.5,3,138000
-1,-2,-0.5,35,144492
-1,-2,-0.5,4,366523
-1,-2,-0.5,4,371092
-1,-2,-0.5,4,417822
-1,-2,-0.5,68,706531
-1,-2,0.5,1,394762
-1,-2,0.5,2,325220
-1,-2,0.5,2,370068
-1,-2,0.5,2,953125
-1,-2,0.5,3,326343
-1,-2,0.5,3,423687
-1,-2,0.5,3,380698
-1,-2,0.5,3,160745
-1,-2,0.5,3,410675
-1,-2,0.5,4,383853
-1,-2,0.5,4,391083
-1,-2,0.5,4,185364
-1,-2,0.5,4,337901
-1,-2,0.5,5,648784
-1,-2,0.5,5,327126
-1,-2,0.5,67,285532
